Label,Probabilities
1,[ 0.48311374  0.51688623]
1,[ 0.48748797  0.51251203]
1,[ 0.48892072  0.51107931]
1,[ 0.48505583  0.5149442 ]
0,[ 0.51328385  0.48671618]
1,[ 0.48456186  0.51543814]
0,[ 0.50876552  0.49123448]
1,[ 0.48058769  0.51941234]
1,[ 0.48771682  0.51228321]
1,[ 0.48450294  0.51549709]
0,[ 0.51207381  0.48792616]
1,[ 0.47394079  0.52605921]
1,[ 0.48568007  0.5143199 ]
1,[ 0.47915584  0.52084416]
1,[ 0.49074993  0.50925004]
1,[ 0.48559868  0.51440126]
1,[ 0.47631148  0.5236885 ]
0,[ 0.5053277  0.4946723]
1,[ 0.48183385  0.51816618]
1,[ 0.48295581  0.51704413]
1,[ 0.49050459  0.50949544]
1,[ 0.47448832  0.52551168]
1,[ 0.4845137  0.5154863]
0,[ 0.50350481  0.49649519]
1,[ 0.49493414  0.50506586]
1,[ 0.49723911  0.50276089]
1,[ 0.47383532  0.52616471]
1,[ 0.47814506  0.521855  ]
0,[ 0.50007468  0.49992535]
0,[ 0.50226873  0.4977313 ]
1,[ 0.47749671  0.52250326]
1,[ 0.49335781  0.50664222]
1,[ 0.48477781  0.51522219]
0,[ 0.50355184  0.49644816]
0,[ 0.50693554  0.49306449]
1,[ 0.47590733  0.52409267]
1,[ 0.4944143   0.50558567]
1,[ 0.49584174  0.50415826]
1,[ 0.48916993  0.5108301 ]
1,[ 0.47765794  0.52234203]
1,[ 0.49340335  0.50659668]
1,[ 0.48851925  0.51148075]
1,[ 0.49644431  0.50355572]
1,[ 0.49519929  0.50480074]
1,[ 0.48949224  0.51050782]
1,[ 0.49733964  0.50266033]
1,[ 0.49033749  0.50966245]
1,[ 0.49075505  0.50924492]
1,[ 0.49226707  0.50773293]
1,[ 0.48762098  0.51237905]
1,[ 0.47570404  0.52429593]
1,[ 0.47972628  0.52027369]
1,[ 0.49085367  0.50914633]
1,[ 0.48351586  0.51648414]
1,[ 0.48317695  0.51682305]
1,[ 0.49923432  0.50076568]
1,[ 0.48916477  0.51083523]
1,[ 0.47750846  0.52249151]
0,[ 0.50416136  0.49583861]
1,[ 0.48256961  0.51743042]
1,[ 0.48863882  0.51136118]
1,[ 0.49090391  0.50909615]
1,[ 0.48490754  0.51509249]
1,[ 0.48378378  0.51621628]
1,[ 0.48888567  0.5111143 ]
1,[ 0.48324326  0.51675677]
0,[ 0.50868917  0.49131086]
1,[ 0.48651192  0.51348805]
1,[ 0.49353057  0.50646937]
1,[ 0.48270839  0.51729161]
1,[ 0.49723309  0.50276685]
0,[ 0.51553118  0.48446882]
1,[ 0.49423227  0.50576776]
1,[ 0.49962828  0.50037175]
0,[ 0.50626355  0.49373648]
1,[ 0.48875916  0.51124084]
1,[ 0.47852391  0.52147615]
1,[ 0.47920403  0.52079594]
0,[ 0.50579941  0.49420059]
1,[ 0.4934471   0.50655293]
1,[ 0.49731064  0.50268936]
1,[ 0.4797633   0.52023673]
1,[ 0.4765422   0.52345783]
0,[ 0.50108677  0.49891323]
0,[ 0.51928294  0.48071706]
1,[ 0.49421453  0.50578547]
1,[ 0.48373181  0.51626825]
0,[ 0.5040468   0.49595323]
1,[ 0.48721969  0.51278031]
1,[ 0.47509015  0.52490985]
1,[ 0.48190829  0.51809174]
1,[ 0.47877669  0.52122325]
1,[ 0.49684578  0.50315422]
1,[ 0.48394054  0.51605946]
1,[ 0.4875862   0.51241386]
1,[ 0.47988927  0.52011073]
1,[ 0.48188883  0.51811117]
0,[ 0.50320995  0.49679005]
1,[ 0.48176259  0.51823741]
1,[ 0.47816187  0.52183813]
1,[ 0.49967906  0.50032091]
1,[ 0.47039574  0.52960426]
0,[ 0.50545025  0.49454978]
1,[ 0.48247415  0.51752579]
1,[ 0.47607124  0.52392876]
1,[ 0.47620267  0.52379733]
1,[ 0.49979782  0.50020218]
1,[ 0.48673749  0.51326257]
1,[ 0.48056075  0.51943922]
1,[ 0.48340866  0.51659131]
1,[ 0.4809055   0.51909453]
1,[ 0.48745528  0.51254475]
1,[ 0.47579899  0.52420098]
0,[ 0.50305384  0.49694619]
0,[ 0.50067115  0.49932888]
0,[ 0.50188822  0.49811175]
1,[ 0.49283737  0.50716263]
1,[ 0.49975717  0.50024283]
0,[ 0.52083951  0.47916052]
1,[ 0.48855001  0.51144999]
0,[ 0.513165    0.48683497]
0,[ 0.51123762  0.48876235]
1,[ 0.49041253  0.50958747]
1,[ 0.49313244  0.50686759]
0,[ 0.50323421  0.49676582]
1,[ 0.48091576  0.51908427]
1,[ 0.47127372  0.52872628]
1,[ 0.48723871  0.51276129]
1,[ 0.48996043  0.51003951]
0,[ 0.50368428  0.49631575]
0,[ 0.50766957  0.49233043]
1,[ 0.47286072  0.52713925]
0,[ 0.50442278  0.49557722]
0,[ 0.50359374  0.49640626]
1,[ 0.49409968  0.50590038]
1,[ 0.48240909  0.51759088]
1,[ 0.47309321  0.52690679]
1,[ 0.48357606  0.51642394]
1,[ 0.49339673  0.50660324]
1,[ 0.4896284   0.51037157]
0,[ 0.50473189  0.49526811]
1,[ 0.48551181  0.51448816]
1,[ 0.49075025  0.50924975]
0,[ 0.51063913  0.48936084]
1,[ 0.49585286  0.50414711]
1,[ 0.48638484  0.51361513]
1,[ 0.49023965  0.50976032]
0,[ 0.5000726  0.4999274]
1,[ 0.49622676  0.50377327]
1,[ 0.49921927  0.5007807 ]
0,[ 0.50277901  0.49722099]
0,[ 0.5053283   0.49467176]
0,[ 0.50885767  0.49114236]
1,[ 0.4844068   0.51559317]
1,[ 0.49271822  0.50728178]
1,[ 0.48412472  0.51587528]
1,[ 0.481471  0.518529]
1,[ 0.49635118  0.50364882]
1,[ 0.49130678  0.50869322]
0,[ 0.51375717  0.4862428 ]
1,[ 0.4935877   0.50641233]
0,[ 0.50771409  0.49228588]
0,[ 0.50079238  0.49920762]
1,[ 0.48329875  0.51670122]
0,[ 0.50069171  0.49930826]
1,[ 0.48298502  0.51701504]
0,[ 0.50074077  0.49925923]
1,[ 0.48417237  0.51582766]
1,[ 0.49521276  0.50478727]
1,[ 0.48413971  0.51586026]
1,[ 0.47743335  0.52256662]
1,[ 0.4802005   0.51979947]
1,[ 0.47470069  0.52529931]
0,[ 0.51115084  0.48884919]
1,[ 0.49393958  0.50606042]
0,[ 0.51659113  0.48340887]
1,[ 0.4820691   0.51793087]
1,[ 0.49667597  0.50332403]
0,[ 0.50493169  0.49506834]
1,[ 0.48941299  0.51058698]
1,[ 0.48997951  0.51002049]
0,[ 0.50711125  0.49288875]
1,[ 0.48700634  0.51299369]
0,[ 0.51954722  0.48045284]
1,[ 0.48332262  0.51667738]
1,[ 0.49480268  0.50519735]
1,[ 0.47793406  0.52206594]
0,[ 0.50804478  0.49195519]
1,[ 0.48917422  0.51082581]
1,[ 0.48600611  0.51399392]
1,[ 0.48777735  0.51222265]
1,[ 0.47161427  0.5283857 ]
1,[ 0.48326209  0.51673794]
1,[ 0.48771206  0.51228791]
1,[ 0.48537096  0.51462907]
1,[ 0.49889198  0.50110805]
1,[ 0.48068738  0.51931262]
0,[ 0.50769639  0.49230361]
1,[ 0.49445444  0.50554556]
1,[ 0.4906939   0.50930607]
1,[ 0.48095876  0.5190413 ]
1,[ 0.48513743  0.5148626 ]
0,[ 0.51680917  0.48319083]
1,[ 0.47567052  0.52432948]
1,[ 0.49166319  0.50833678]
1,[ 0.49097228  0.50902772]
1,[ 0.47704709  0.52295291]
1,[ 0.48814937  0.5118506 ]
1,[ 0.47215462  0.52784532]
1,[ 0.48962224  0.51037776]
1,[ 0.48985186  0.51014811]
1,[ 0.47336653  0.52663344]
1,[ 0.47569826  0.52430177]
0,[ 0.50457776  0.49542221]
1,[ 0.49485794  0.50514209]
1,[ 0.48947719  0.51052278]
1,[ 0.49876726  0.50123274]
1,[ 0.49058315  0.50941688]
1,[ 0.48656461  0.51343536]
1,[ 0.48267585  0.51732409]
1,[ 0.48836577  0.51163429]
1,[ 0.48430169  0.51569831]
1,[ 0.48008168  0.51991832]
1,[ 0.49254477  0.50745523]
1,[ 0.47969955  0.52030039]
0,[ 0.50382173  0.49617827]
1,[ 0.48431185  0.51568818]
1,[ 0.49835846  0.50164151]
1,[ 0.4966225  0.5033775]
1,[ 0.49221885  0.50778109]
0,[ 0.51030892  0.48969108]
1,[ 0.47477415  0.52522588]
0,[ 0.51082283  0.4891772 ]
1,[ 0.49643421  0.50356579]
1,[ 0.48728278  0.51271725]
1,[ 0.49858665  0.50141335]
1,[ 0.4988412   0.50115877]
0,[ 0.50237805  0.49762198]
1,[ 0.49744242  0.50255758]
0,[ 0.50129294  0.49870703]
1,[ 0.49245366  0.50754631]
0,[ 0.51157767  0.4884223 ]
1,[ 0.49107328  0.50892675]
0,[ 0.51012468  0.48987532]
1,[ 0.4753961  0.5246039]
1,[ 0.49175724  0.50824273]
1,[ 0.48184872  0.51815128]
0,[ 0.5060029   0.49399713]
0,[ 0.50416392  0.49583605]
1,[ 0.47913492  0.52086508]
1,[ 0.48126736  0.51873261]
1,[ 0.47589239  0.52410764]
1,[ 0.47809824  0.52190179]
1,[ 0.47604764  0.52395236]
0,[ 0.50388426  0.49611574]
1,[ 0.47320798  0.52679199]
0,[ 0.504278    0.49572197]
1,[ 0.48955047  0.51044953]
0,[ 0.50003695  0.49996307]
1,[ 0.49779823  0.50220174]
1,[ 0.47577572  0.52422428]
1,[ 0.48716557  0.51283443]
0,[ 0.51111859  0.48888141]
1,[ 0.49610427  0.5038957 ]
1,[ 0.48789603  0.51210397]
0,[ 0.51397544  0.48602453]
1,[ 0.49716714  0.50283289]
0,[ 0.50263983  0.49736017]
1,[ 0.49880001  0.50120002]
1,[ 0.49909002  0.50090998]
0,[ 0.50203747  0.49796256]
1,[ 0.4948726   0.50512743]
1,[ 0.48423833  0.51576167]
1,[ 0.47362161  0.52637839]
1,[ 0.48170853  0.51829147]
1,[ 0.49695972  0.50304025]
0,[ 0.50534171  0.49465829]
0,[ 0.50440937  0.49559063]
1,[ 0.49749166  0.50250834]
1,[ 0.49764875  0.50235128]
1,[ 0.47442767  0.52557236]
1,[ 0.49667731  0.50332272]
1,[ 0.48864073  0.51135927]
1,[ 0.49862948  0.50137049]
0,[ 0.50090766  0.49909234]
1,[ 0.48484933  0.51515073]
1,[ 0.48234749  0.51765245]
1,[ 0.48691228  0.51308769]
1,[ 0.48407334  0.51592666]
1,[ 0.48669553  0.51330447]
1,[ 0.49924111  0.50075889]
0,[ 0.50995195  0.49004805]
1,[ 0.47630623  0.52369374]
1,[ 0.49366724  0.50633276]
1,[ 0.48809671  0.51190329]
1,[ 0.49727732  0.50272268]
1,[ 0.48517153  0.5148285 ]
1,[ 0.48820764  0.51179236]
1,[ 0.48374185  0.51625812]
0,[ 0.50627846  0.49372149]
0,[ 0.5017485   0.49825153]
1,[ 0.48448732  0.5155127 ]
0,[ 0.51373869  0.48626128]
1,[ 0.4885155  0.5114845]
1,[ 0.47761339  0.52238667]
1,[ 0.4766711  0.5233289]
1,[ 0.49093667  0.50906336]
1,[ 0.49917504  0.50082493]
1,[ 0.48297563  0.51702434]
1,[ 0.49329776  0.50670224]
0,[ 0.50158656  0.49841341]
0,[ 0.50680625  0.49319375]
1,[ 0.48376888  0.51623112]
1,[ 0.48129889  0.51870108]
1,[ 0.49728066  0.50271934]
1,[ 0.48883167  0.5111683 ]
1,[ 0.49520215  0.50479788]
1,[ 0.48578542  0.51421458]
0,[ 0.51124245  0.48875752]
1,[ 0.49262679  0.50737321]
1,[ 0.49548221  0.50451779]
1,[ 0.48117125  0.51882875]
1,[ 0.48643386  0.51356614]
1,[ 0.48551276  0.51448721]
0,[ 0.50353801  0.49646202]
1,[ 0.49975172  0.50024831]
1,[ 0.4959906   0.50400943]
1,[ 0.48710871  0.51289129]
1,[ 0.49054813  0.50945187]
1,[ 0.47955158  0.52044839]
1,[ 0.49174508  0.50825489]
1,[ 0.48822618  0.51177382]
1,[ 0.49781847  0.50218153]
1,[ 0.48684528  0.51315475]
1,[ 0.47202572  0.52797431]
1,[ 0.48784137  0.51215863]
1,[ 0.49807066  0.50192934]
1,[ 0.48728693  0.51271307]
0,[ 0.5089938   0.49100623]
1,[ 0.49718249  0.50281751]
1,[ 0.48665634  0.51334369]
1,[ 0.49908537  0.50091463]
1,[ 0.49063569  0.50936431]
1,[ 0.4970794   0.50292063]
1,[ 0.48044968  0.51955026]
1,[ 0.49591541  0.50408459]
1,[ 0.48543784  0.51456219]
1,[ 0.4795734   0.52042663]
0,[ 0.5078302  0.4921698]
1,[ 0.47426134  0.52573866]
0,[ 0.51173586  0.48826411]
1,[ 0.49091652  0.50908351]
1,[ 0.48821679  0.51178324]
1,[ 0.48731852  0.51268148]
1,[ 0.49832258  0.50167745]
1,[ 0.49571985  0.50428015]
1,[ 0.48958188  0.51041818]
1,[ 0.49826765  0.50173229]
1,[ 0.47762468  0.52237535]
1,[ 0.47628075  0.52371925]
1,[ 0.49522629  0.50477368]
1,[ 0.48371795  0.51628202]
0,[ 0.50719148  0.49280852]
1,[ 0.49033853  0.5096615 ]
1,[ 0.48132026  0.51867974]
1,[ 0.49613169  0.50386828]
1,[ 0.48237044  0.51762956]
0,[ 0.52536112  0.47463888]
1,[ 0.48405144  0.51594853]
1,[ 0.48490468  0.51509529]
0,[ 0.50072533  0.49927467]
1,[ 0.47760132  0.52239865]
0,[ 0.50274909  0.49725094]
1,[ 0.48672524  0.51327473]
0,[ 0.5036872  0.4963128]
1,[ 0.49562579  0.50437421]
1,[ 0.47888982  0.52111018]
0,[ 0.50653011  0.49346989]
1,[ 0.48198766  0.51801234]
1,[ 0.47467792  0.52532208]
0,[ 0.51715118  0.48284885]
1,[ 0.47878397  0.52121603]
0,[ 0.50400066  0.49599934]
1,[ 0.48046407  0.51953596]
0,[ 0.50836957  0.49163046]
0,[ 0.50216156  0.49783847]
0,[ 0.5108909   0.48910907]
1,[ 0.48809239  0.51190764]
0,[ 0.50161326  0.49838674]
1,[ 0.4770301  0.5229699]
1,[ 0.48343945  0.51656049]
1,[ 0.48795852  0.51204145]
0,[ 0.50370699  0.49629307]
1,[ 0.48125052  0.51874948]
1,[ 0.48628959  0.51371038]
0,[ 0.50931531  0.49068469]
1,[ 0.49584484  0.50415522]
1,[ 0.49012765  0.50987238]
1,[ 0.48860931  0.51139075]
0,[ 0.50638461  0.49361539]
1,[ 0.4891189   0.51088113]
0,[ 0.5091275  0.4908725]
1,[ 0.49321467  0.50678533]
1,[ 0.4926129  0.5073871]
1,[ 0.49248716  0.50751281]
1,[ 0.48395473  0.51604527]
1,[ 0.49180037  0.50819963]
1,[ 0.48493618  0.51506376]
1,[ 0.49724936  0.50275058]
1,[ 0.47459906  0.52540094]
1,[ 0.4853766   0.51462334]
1,[ 0.47459128  0.52540869]
1,[ 0.49627897  0.50372106]
1,[ 0.49605113  0.50394887]
0,[ 0.50397664  0.49602336]
1,[ 0.49177754  0.50822246]
1,[ 0.48554984  0.51445019]
1,[ 0.47928888  0.52071112]
1,[ 0.49944606  0.50055391]
0,[ 0.50201499  0.49798501]
1,[ 0.48816261  0.51183736]
1,[ 0.48496065  0.51503938]
1,[ 0.47368771  0.52631235]
1,[ 0.49339595  0.50660402]
0,[ 0.51257473  0.4874253 ]
1,[ 0.48072743  0.51927263]
1,[ 0.49126515  0.50873488]
1,[ 0.4984242   0.50157583]
1,[ 0.47995168  0.52004832]
1,[ 0.49640274  0.50359726]
1,[ 0.48027277  0.51972729]
1,[ 0.48537406  0.51462597]
0,[ 0.50399482  0.49600515]
1,[ 0.49965385  0.50034618]
1,[ 0.4930988   0.50690114]
0,[ 0.50898981  0.49101019]
1,[ 0.48669788  0.51330209]
1,[ 0.47512817  0.52487183]
1,[ 0.48772117  0.51227885]
1,[ 0.48904064  0.51095939]
1,[ 0.48006609  0.51993388]
1,[ 0.4989799   0.50102007]
1,[ 0.49591088  0.50408912]
1,[ 0.48292008  0.51707989]
1,[ 0.48777315  0.51222688]
1,[ 0.48607662  0.51392341]
1,[ 0.48109105  0.51890898]
1,[ 0.49337313  0.50662684]
1,[ 0.48813474  0.51186526]
0,[ 0.50144309  0.49855691]
1,[ 0.47844103  0.521559  ]
1,[ 0.4950428  0.5049572]
1,[ 0.47868183  0.5213182 ]
1,[ 0.49556795  0.50443202]
1,[ 0.4971076   0.50289237]
1,[ 0.49555489  0.50444508]
1,[ 0.47637561  0.52362442]
1,[ 0.48739395  0.51260608]
1,[ 0.47743747  0.5225625 ]
1,[ 0.47657967  0.52342033]
1,[ 0.49082226  0.50917774]
